ID,Name,Type,Keywords,Range,Description,Requirements,Combined Costs,Mana Cost,AP Cost,RP Cost,Other Costs,Benefits,Associated Abilities,Parent Ability,Subdivision Index,Gathering Cost,Gathering Bonus
cut_away,Cut Away,true_ability,,Self,"Instead of rolling a save normally, you may make a Precise Attack against the Potency of the ability instead. If your accuracy roll beats the Potency, you are treated as having passed the save.",You are the target of an ability that forces you to make a save.,RP: 1,,,1,,,,,,,
cut_magic,Cut Magic,true_ability,Overcharge,Melee Weapon Range,"You make a Heavy Attack against a temporary magic effect. If your accuracy roll is equal or higher than the Potency of the effect, the effect is removed.

Overcharge:You may spend 1 additional AP to turn the Heavy attack into a Precise attack instead.",,AP: 1,,1,,,,,,,,
cyclone,Cyclone,true_ability,"Spell, Wind",60ft,"All targets in a 15x15 ft area must make a save against your Potency or be knocked airborne for 10ft, falling Prone once they land.",,AP: 2,,2,,,,,,,,
dark_barrier,Dark Barrier,true_ability,"Spell, Dark, Full Pierce, Shield",40ft,"You and up to 4 other willing allies within range take Light Dark damage. Afterwards they gain temporary HP until end of encounter equal to double the damage taken.

You may choose to ignore Dark resistance or damage reduction on your allies for this ability.",,AP: 2 MP: 3,3,2,,,,,,,,
dark_bolt,Dark Bolt,true_ability,"Spell, Dark, Half Pierce, Full Pierce",60ft,"You fire a bolt of darkness at a target, making a Light Attack that deals Dark Damage. You may take true damage equal to your Power + 3 to give this ability Full Pierce.",,AP: 1 MP: 1,1,1,,,,,,,,
dark_healing,Dark Healing,true_ability,"Spell, Dark, Full Pierce, Healing",60ft,"You take Light (1 AP) or Heavy damage (2 AP), then heal a target within range an amount equal to damage taken.

You may choose to ignore Dark resistance or damage reduction on yourself for this damage.",,AP: 1,,1,,,,,,,,
darkness,Darkness,true_ability,"Concentration, Spell",40ft,"You conjure a 15x15ft area of pure darkness within range. The darkness blocks line of sight. Targets inside of or within 5ft of the Darkness can only see up to 5ft into or out of Darkness. In addition, any targets within the Darkness that do not have Darkvision or a similar ability that lets them see in darkness are considered Blinded (nightvision does not apply).

This lasts for up to 10 minutes and you may end this effect for 0 AP.

The mana cost of this ability is reduced by 2 during the night.",,AP: 2 MP: 3,3,2,,,,,,,,
darkvision,Darkvision,true_ability,,Touch,"You touch an ally and share your Darkvision with them until the end of the encounter, letting them see up 60ft in the darkness.",,AP: 1,,1,,,,,,,,
darkvision_passive,Darkvision (passive),true_ability,,,"You gain 60ft darkvision, allowing you to see perfectly in the dark even without a source of light.",,,,,,,,,,,,
death_mark,Death Mark,true_ability,Encounter Start,Sight,"You mentally mark a target for death by applying Death Mark, opening them up to your Assassin abilities. When you reduce a character marked by Death Mark to 0 HP or lower, you may move up to your Speed and take the Hide action for 0 RP. This movement does not provoke attacks of opportunity.",Enemy is surprised.,,,,,,,,,,,
death_perception,Death Perception,true_ability,Mystic Eye,Sight,"You can assess the approximate HP percentage of all living units within range until the end of combat. (The DM should enable health bars for the unit). Only affects unit in your line of sight when you use this ability, if more enemies join the fight later they are not affected until you use this ability again.",,AP: 0 MP: 1,1,0,,,,,,,,
decipher_magic,Decipher Magic,true_ability,Hacking,Sight,"You may start a skill challenge against a magic effect you can see in an attempt to understand it.

You are able to disable tier 1 bounded fields with this ability.",,AP: 1,,1,,,,,,,,
deconstruction,Deconstruction,true_ability,Errand,,"By spending an Interlude Point, you deconstruct a basic item into materials. You gain 500 matching crafting material per ingot or block used in the item. If the item does not use ingots, you instead get 1 matching crafting material per clim value of the item.

Regardless of the material used in the item, you will only gain the base price amount even if using upgraded materials and all alloys and upgrades are lost.  You can deconstruct up to 5 basic items for 1 interlude point.

Alternatively instead of 1 basic item, you can transmute up to 1000u of random junk into up to 250u of usable Blacksmithing Materials, Armorsmithing Materials, Carpentry Materials, Calligraphy Material, Magical Fuel Materials or Medical Materials units at a 4:1 ratio.You can also use Deconstruction as an Errand Action, but the deconstruction limit is reduced to 1 basic item instead of 5 basic items.",,,,,,,,,,,,
defensive_flexibility,Defensive Flexibility,true_ability,,Self,"You must use this immediately after taking the Dodge or Block action.

You automatically react to the next attack targeted at you before the start of your next turn with the opposite action that you last took.

If your last action was the Dodge action, you automatically react with Block.If your last action was the Block action, you automatically react with Dodge.

You may cancel the effect of Defensive Flexibility at any time for 0 RP.",Can only be used immediately after taking the Dodge or Block action.,RP: 0,,,0,,,,,,,
deflect_missiles,Deflect Missiles,key_ability,,,,,,,,,,You may use your Parry ability against ranged weapon attacks as well.,,,,,
delayed_hit,Delayed Hit,true_ability,,Melee Weapon Range,"You make a Heavy Attack against the target, but don’t deal damage. On hit, even if it was guarded, the target takes Heavy Damage at the start of your next turn. (This delayed damage is calculated of the target’s Guard at the time it’s applied, not when the attack hit)",,AP: 2,,2,,,,,,,,
demonblood_regeneration,Demonblood Regeneration,true_ability,,,You heal faster than those of other races. You gain the following benefits:,,,,,,,,,,,,
dense_mana,Dense Mana,true_ability,,Self,"You augment your next ability, increasing the Potency of your next ability by 2.",,MP: 1 RP: 0,1,,0,,,,,,,
despair_of_isolation,Despair of Isolation,true_ability,"Song, Mind Affecting, Sound",Self,"Everyone within your Mist of the Vale becomes Slowed until the end of their next turn. They must also make a Save or become Dazed until the end of their next turn. On failure, they also cannot target allies with friendly effects while in the mist until the end of their next turn.

You may spend 1 Mana to exclude allies from this attack.",Mist of the Vale must be active.,AP: 1,,1,,,,,,,,
destroy_ground,Destroy Ground,true_ability,,5ft,"You destroy natural earth with magical speed, creating up to a 10ft x 10ft x 10ft hole in most natural earth. Those caught in the effect may spend 1 RP to Sidestep 5ft out of the effect. All caught in the effect fall down 10ft into the hole and take falling damage as normal.

The spell requires natural ground to be below the touching surface to function. It may work on the bottom floor of a house, but will fail if used higher up or in some dungeons",,AP: 2 MP: 1,1,2,,,,,,,,
destroying_angel,Destroying Angel,true_ability,"Poison, Spell",60ft,"You make a Precise Attack against an enemy unit within range, dealing Earth(Poison) Damage. On unguarded hit, if the enemy is a Grunt, they are immediately reduced to negative their Max HP and die. On Killing Blow, the current host of Spore Symbiote is healed for your Power x 3.",,AP: 4 MP: 2,2,4,,,,,,,,
detailed_finish,Detailed Finish,true_ability,,,Make a crafting check. Upgrade the dice to 2d8.,This is your last crafting dice. Costs 1 Crafting Dice.,,,,,,,,,,,
deus_vult,Deus Vult,true_ability,,Self,Can use with active Holy Orders. Your next basic attack or Ave Maria against your Holy Order gains the Lock On and Shieldbreaker keywords against your Holy Order.,A target of your Holy Order.,RP: 1,,,1,,,,,,,
devastating_strike,Devastating Strike,true_ability,"Full Pierce, Sure Hit",Melee Weapon Range,You make a Light attack against the target.,Target must have 0 RP remaining.,AP: 1,,1,,,,,,,,
devastating_strike_iv,Devastating Strike IV,true_ability,"Full Pierce, Sure Hit",Melee Weapon Range,Deal maximum Light Damage to the target.,Target must have 0 RP remaining and must be marked by Death Mark.,AP: 1,,1,,,,,,,,
devils_blow,Devil's Blow,true_ability,Full Pierce,Melee Weapon Range,"You make a Heavy attack against the target.

If you roll a 1 on the accuracy check, you take full pierce damage of same the type as the attack equal to the damage roll of the attack. You also regain the mana spent on this.",,AP: 1 MP: 1,1,1,,,,,,,,
devils_curse,Devil's Curse,true_ability,,Self,"The attacker takes damage equal to the damage roll of the triggering attack. They cannot Dodge or Block this damage.

Does not work against Secret Arts, Climax Arts or similar level abilities.",An enemy accuracy check against you rolls a 1.,MP: 2 RP: 0,2,,0,,,,,,,
dimensional_armory,Dimensional Armory,key_ability,,,,,,,,,,"You can create a pocket dimension with Dimensional Armory.  Creating the pocket dimension and establishing its door takes 1 week and costs 1 errand point.  The entry point can be any regular door that you fit through.  When the creator opens this door, they can decide instead to access the Dimensional Armory, which is a 15ft x 15ft closet.  This closet can hold up to 6 Burden worth of items.  Some magic items can be rejected by the dimensional armory (GM’s discretion), such as Divine Arms not bonded to you.  If the owner of a Dimensional Armory dies, everything inside of it appears in the next unoccupied space possible next to the owner.",,,,,
dimensional_armory_expansion,Dimensional Armory Expansion,true_ability,,,"Your burden limit for your Dimensional Armory is increased by 4.  Ahead of time, you designate one armor, one cloak and one weapon/shield or two weapons or one two-handed weapon that are inside of your Dimensional Armory as a “dimensional set”, this process takes 15 minutes of concentration.  You can only have one dimensional set at a time.",,,,,,,,,,,,
dirge_of_despair,Dirge of Despair,true_ability,"Sound, Song, Upkeep, Mind Affecting",30ft,"All enemies within range must make a save against your Potency or become affected by this Song. While affected, you may subtract 1d4 from a single roll they make until the start of your next turn. You may choose to add this after seeing the roll.

Upkeep:At the start of your next turn and every turn thereafter, you may spend 1 AP to continue this performance. Enemies that successfully made their save, do not have to save again against this continued performance, but those who were affected continue to be affected.",,AP: 2,,2,,,,,,,,
disable_magic,Disable Magic,key_ability,,,,,,,,,,"When using Decipher Magic, you are able to disable both tier 1 and tier 2 level bounded fields., You are able to disable or change who is excluded from your own Bounded Fields for 0 RP.",,,,,
disarming_attack,Disarming Attack,true_ability,Disarm,Melee Weapon Range,"You may make a Light Attack against the target. On damage, you Disarm the target until the start of your next turn.",,AP: 2 MP: 2,2,2,,,,,,,,
disarming_shot,Disarming Shot,true_ability,Disarm,Ranged Weapon Range,"You may make a Light Attack against the target. On damage, you Disarm the target until the start of your next turn.",,AP: 2 MP: 3,3,2,,,,,,,,
discipline,Discipline,true_ability,,Self,"Instead of rolling, you can choose instead to accept 10 as the dice value for a skill check.",You have at least 5 skill points in the called for skill. Use when you need to roll a skill check.,AP: 0,,0,,,,,,,,
dispel_magic,Dispel Magic,true_ability,"Arcane, Dispel, Spell",60ft,You dispel a temporary magic effect from an area or target. All non-permanent effects within range that are created by an ability with the Spell or Enchantment keyword are affected. Spells that do not have a time limit listed or create a permanent effect such as a Geomancer's fissure are not affected. Bounded Fields and Secret Arts cannot be removed with Dispel Magic.,,AP: 2 MP: 3,3,2,,,,,,,,
disrupt_ki,Disrupt Ki,true_ability,"Unarmed Strike, Mystic Eye",Melee Weapon Range,"You may make a Light Attack against the target. On damage, if they have any Concentration ability active, that ability immediately ends as if they had chosen to drop it.",,AP: 2,,2,,,,,,,,
divine_guard,Divine Guard,true_ability,,Self,You may immediately use the Block action to guard against the triggering attack with a +5 bonus to Guard.,Must be transformed by Divine Release and targeted by an attack.,RP: 1,,,1,,,,,,,
divine_might,Divine Might,true_ability,,Melee Weapon Range,You make a Light Attack against the target.,Must be transformed by Divine Release.,AP: 0,,0,,,,,,,,
divine_providence,Divine Providence,true_ability,Rage,Self,"When you use this ability you choose one of the following effects:

Divine Protection:You are protected from harm through divine protection, gaining 100 damage reduction against the next source of damage you take.

Fortune:When used for this effect, this ability becomes Instant. You may reroll your last d20 and take the new result.

Health:You heal someone (or yourself) within touching distance for 15 hp.

Light:You summon a bright light at your position that shines a bright light up to 30ft around you. You may detonate this light by spending 0 AP toDazeall enemies within its range.

Once you use this ability, you may not use it again until after a rest.",,RP: 0,,,0,,,,,,,
divine_release,Divine Release,true_ability,"Transformation, Rage",Self,"Demons can feed on their own lifeforce to release a brilliant display of divine powers. Horns can elongate, fangs might grow, eyes glow and even wings can sprout as the Demon realizes their Divine Roots.

Upkeep: 11 HP

You transform into your new form and take 11 damage. You may end this form at any time by spending 0 RP. While the form lasts you gain the following benefits:

Fallen Guard:When you take the Block basic action, you gain an additional +5 to guard.Fallen Alacrity:You gain +5 movement speed and the ability to fly.Fallen Might:You gain +1 AP at the start of your turn.Fallen Conviction:When you are reduced to 0 HP, you do not enter the downed state. You still receive the wounded status. While at or below 0 HP, the upkeep for this ability is increased to 16. If you end this ability while at or below 0 HP, you are immediately placed into the downed state. If your HP become equal to or lower than your negative maximum HP, you are immediately incapacitated and this ability ends.

Once you use this ability, you cannot do so again until you finish an interlude rest phase.",,AP: 0,,0,,,,,,,,
divine_smite,Divine Smite,true_ability,Full Pierce,Melee Weapon Range,"You may make a Heavy Attack that deals Holy Damage against the target. If your target’s HP is lower than the max damage your attack would deal, this attack gains Full Pierce and does maximum damage instead of rolling.

This calculation only involves your base damage (Base weapon damage + the power). Any other effects added to the damage such as Heavy Blade's bonus damage, Anathema on target etc do not affect the calculation and aren't maximized.",Target has your Mark of Justice on them.,AP: 2 MP: 2,2,2,,,,,,,,
divine_smite_ii,Divine Smite II,true_ability,,Melee Weapon Range,"You may make a Heavy Attack that deals Holy Damage against the target. On damage, you may give yourself or an ally within 30ft temporary HP equal your 5+Power until the end of the encounter.",,AP: 2 MP: 1,1,2,,,,,,,,
divine_storm,Divine Storm,true_ability,,Melee Weapon Range,"You make a Heavy attack against the target of your Mark of Justice. You then make a Light attack against all other enemies within 5ft and push them back 10ft, regardless of whether the attack hit or not.",Target has your Mark of Justice on them.,AP: 3 MP: 2,2,3,,,,,,,,
divining_petalfall,Divining Petalfall,gathering_ability,,,"Make a gathering check with a +5 bonus. If the final dice value is even, add it to Node Points. If it’s odd, add it to Lucky Points.",Must be in a gathering session.,Other: 1 Strike Dice,,,,other: 1 Strike Dice,,,,,,+5 bonus
doctor_jekyll,Doctor Jekyll,true_ability,Encounter Start,30ft,"You draw and either drink a Potion or Elixir, or throw one to a willing ally within 30ft who immediately drinks it.",,,,,,,,,,,,
double_elements,Double Elements,true_ability,Quick,Self,Your next Elemental Strike or Elemental Sweep ability used this turn may add in the effect of another element. This element must be one you have mastered and different from the effect that's already dealt by the attack.,,AP: 0,,0,,,,,,,,
double_palm_strike,Double Palm Strike,true_ability,"Bajiquan, Unarmed Strike",Melee Weapon Range,"You attack the target for Light Damage. On damage, the target is moved up to 15ft away from you (At least 5 feet).",,AP: 1,,1,,,,,,,,
double_punch,Double Punch,true_ability,Unarmed Strike,Melee Weapon Range,"You may make two Light Attacks against the same target.

You may not make a dual wield attack until the start of your next turn.",Must not have made a dual wield attack this turn.,AP: 1,,1,,,,,,,,
double_slam,Double Slam,true_ability,Unbalanced,Melee Weapon Range,"You may make 2 Light attacks against the target. On damage of either hit, the target becomesUnbalanced. If the target is already unbalanced, they are knocked prone.

If you are wielding only 1 Heavy weapon, the AP cost, Mana cost and number of attacks is reduced to 1.",Two-Handed weapons only,AP: 2 MP: 2,2,2,,,,,,,,
downburst,Downburst,true_ability,"Lock On, Spell, Wind",720ft,"You may make a Heavy Attack that deals Wind damage against the target. On damage, the target immediately plummets to the ground and takes falling damage. This falling damage cannot be negated through the use of abilities that would normally negate falling damage.",Target must be Flying.,AP: 4,,4,,,,,,,,
downburst_ii,Downburst II,true_ability,"Lock On, Spell, Wind",720ft,"You may make a Heavy Attack that deals Wind damage against the target. On damage, the target immediately plummets to the ground and takes falling damage. This falling damage cannot be negated through the use of abilities that would normally negate falling damage.",Target is knocked airborne or is Flying.,RP: 2,,,2,,,,,,,
dragon_breaks_the_ranks,Dragon Breaks The Ranks,true_ability,"Fire, Spell, Sidestep",80ft,"You gain Flight and surround yourself in fire, then Sidestep to a point in a direct line. You destroy low cover you pass through, though the GM may rule that some cover is too sturdy to be destroyed. In either case, you continue until you reach the target and may make a single Heavy Attack against an enemy in range with your weapon. Any other characters in your path may spend 1 RP to move 5ft out of your charge or take Light Fire Damage.

If you have an element mastered, you may change the Fire damage of this ability to the element you have mastered.",,AP: 4,,4,,,,,,,,
dragonfire_dive,Dragonfire Dive,true_ability,"Fire, Jump",40ft,"You jump to the target, not provoking any attacks of opportunity, and attacking the target plus all other creatures within 5ft of the target for Heavy Fire Damage.",Polearm only.,AP: 2 MP: 2,2,2,,,,,,,,
draw_elements,Draw Elements,true_ability,,,"You may choose an element. Until the start of your next turn, you are considered to have mastered that element.",,AP: 0 MP: 1,1,0,,,,,,,,
draw_elements_ii,Draw Elements II,true_ability,Quick,Self,"You may choose an element. Until the start of your next turn, you are considered to have mastered that element.",,AP: 0,,0,,,,,,,,
draw_in,Draw-In,true_ability,Combo,Melee Weapon Range,"You make a Light attack against the target. On damage, they are pulled up to 5ft towards you.

Combo: If used after Lunge, the range of this attack and the pullback distance are doubled. This consumes the Lunge effect.",Polearm only.,AP: 1,,1,,,,,,,,
drink_to_battle,Drink to Battle,true_ability,Encounter Start,Self,"You drink some Alcohol in preparation for a battle, granting you 1 stack of Tipsy.",,Other: 2 AP or Encounter Start action,,,,other: 2 AP or Encounter Start action,,,,,,
dualcast,Dualcast,true_ability,Arcane,Self,You immediately repeat the last used ability with the same target. Any cost must be paid as normal.,Must be used immediately after successfully using an ability with the spell keyword.,AP: 0 MP: 1,1,0,,,,,,,,
duelist_blow,Duelist Blow,true_ability,,Melee Weapon Range,You make a Heavy Attack against the target. Your next Block or Dodge reaction against that target costs 0 RP. This benefit disappears when you use an RP ability against a target other than the target of this ability.,,AP: 2 MP: 1,1,2,,,,,,,,
dullahans_mount,Dullahan's Mount,true_ability,,Self,"You conjure up a black horse that becomes part of you. You immediately mount when using this ability and upon dismounting, the horse vanishes. While mounted, your movement speed is increased by 30ft and you are considered a large creature, but you may only move in a straight line. When attempting to move through 5ft wide spaces, it is considered difficult terrain for you. You also suffer a -10 penalty to most acrobatics, climbing and swimming checks while mounted.

Any attack against the horse is considered an attack against you instead. As the horse is considered part of you, any displacement or teleport abilities move the horse alongside with you. You may dismount by spending 0 AP.",,AP: 1,,1,,,,,,,,
duplicate,Duplicate,true_ability,"Spell, Arcane",Sight,"You attempt to analyze the spell and duplicate it. After the triggering spell resolves, immediately cast a copy of it. You must select a valid target for this copy, pay any additional mana cost originally on the spell as well as pay any costs that are not AP or RP. Failure to do so will make the duplicated spell fizzle, dissipating the magic harmlessly into the air.

Upon successfully copying the spell, it resolves with the same damage and effects as the original spell, though using your stats to resolve them.

The cost is 1 RP for a 0-2 AP spell or 2 RP for a 3-4 AP spell. Spells with a higher cost cannot be duplicated.

Secret Arts and Esoteric Arts also cannot be duplicated and upon attempting to do so, this ability is canceled and any cost refunded. Unique spells by heroic or boss enemies may also be impossible to duplicate (GM's discretion).",An enemy in range casts a Spell,MP: 1 RP: 1,1,,1,,,,,,,
eagle_hunt,Eagle Hunt,true_ability,"Combo, Jump",,"You leap up to 30ft into the air and then horizontally up to twice your Speed, this movement does not provoke attacks of opportunity. You may use Silentium at any point during the movement, gaining the Combo bonus.",,AP: 2,,2,,,,,,,,
earthen_guardian,Earthen Guardian,true_ability,"Sidestep, Jump",40ft,You jump and sidestep towards the attacked ally and the triggering attack resolves against you instead. You automatically take the Block action against this attack.,"In Steadfast Earth Stance, ally within range is the target of an attack.",MP: 2 RP: 1,2,,1,,,,,,,
efficient_strike,Efficient Strike,gathering_ability,,,"Make a gathering check.  If this maxes node points, all overflow is converted into lucky points.",Must in a gathering session.,Other: 1 Strike Dice,,,,other: 1 Strike Dice,,,,,,
elbow_uppercut,Elbow Uppercut,true_ability,"Bajiquan, Combo, Unarmed Strike",Melee Weapon Range,"You attack the target for Heavy Damage.Combo:If used after an ability with the Unarmed Strike keyword, this ability gains Full Pierce.",,AP: 2 MP: 1,1,2,,,,,,,,
elemental_mastery_dark,Elemental Mastery: Dark,true_ability,,,You gain Elemental Mastery: Dark,,,,,,,,,,,,
elemental_mastery_fire,Elemental Mastery: Fire,true_ability,,,You gain Elemental Mastery: Fire,,,,,,,,,,,,
elemental_mastery_frost,Elemental Mastery: Frost,true_ability,,,You gain Elemental Mastery: Frost,,,,,,,,,,,,
elemental_mastery_lightning,Elemental Mastery: Lightning,true_ability,,,You gain Elemental Mastery: Lightning.,,,,,,,,,,,,
elemental_strike,Elemental Strike,true_ability,,Melee Weapon Range,"You make a Light Attack against the target. On damage, your attack applies an additional effect based on one of your attack's damage type. (If you are able to have multiple damage types on the attack such as through Holy weapon, you may pick any of the effects).

Arcane: The target loses 1 mana.Fire: The target becomes Burning X, where X equals your Power x 3.Water: The target becomes Soaked X, where X equals your power/2 (rounded down) for 1 turn or until they take Lightning damage.Lightning: The target is afflicted with Static X, where X equals your Power x 3Earth/Frost: The target becomes Slowed until the start of your next turn.Wind: You may push the target back 10ft.Holy: You gain temporary hit points equal to your Power + 5.Dark: The target becomes Blinded until after their next attack.",,AP: 1 MP: 1,1,1,,,,,,,,
elemental_sweep,Elemental Sweep,true_ability,,Melee Weapon Range,"You may make a Light Attack against all enemies within range. On damage, your attack applies an additional effect based on one of your attack's damage type. (If you are able to have multiple damage types on the attack such as through Holy weapon, you may pick any of the effects).

Arcane: The target loses 1 mana.Fire: The target becomes Burning X, where X equals your Power x 3.Water: The target becomes Soaked X, where X equals your power/2 (rounded down) for 1 turn or until they take Lightning damage.Lightning: The target is afflicted with Static X, where X equals your Power x 3.Earth/Frost: The target becomes Slowed until the start of your next turn.Wind: You may push the target back 10ft.Holy: You gain temporary hit points equal to your Power+5.Dark: The target becomes Blinded until after their next attack.",,AP: 2 MP: 1,1,2,,,,,,,,
emergency_maneuvers,Emergency Maneuvers,true_ability,,Self,"When you fail a check when operating an airship, you may use this to reroll the check. You must accept the new result and cannot reroll it again.",,MP: 1 RP: 0,1,,0,,,,,,,
emergency_recall,Emergency Recall,true_ability,,Sight,"You give your summon 100 Damage Reduction against the attack. Afterwards, if it is still alive, it is immediately unsummoned.",Your summon from Summon Animal is the target of an attack.,RP: 1,,,1,,,,,,,
emergency_shield,Emergency Shield,true_ability,"Shield, Spell",40ft,The target gains temporary HP equal to 7 + Power.,,MP: 2 RP: 1,2,,1,,,,,,,
emergency_shields,Emergency Shields,key_ability,,,,,,,,,,You may cast Power Word: Shield and Power Word: Guardian Shield (when obtained) by spending 1 RP instead of 2 AP.,,,,,
empower_mana_shield,Empower Mana Shield,true_ability,,Self,You spend X mana to add X*8 to the value of your mana shield until the start of your next turn.,,AP: 1 MP: X,X,1,,,,,,,,
empty_body,Empty Body,true_ability,,Self,You may reroll the failed saving throw and must accept the new result.,You failed a saving throw.,MP: 2 RP: 0,2,,0,,,,,,,
enduring_warmth,Enduring Warmth,true_ability,,,You can emit comforting heat within 30feet that counters the effects of most cold weather. You can activate or deactivate this heat every 1 second.,,,,,,,,,,,,
energy_drain,Energy Drain,true_ability,"Spell, Dark",60ft,"You deal Light true damage to a willing ally other than yourself. You gainHaste, which gives you 2 AP for the rest of this turn. A target can only be affected by haste once per turn.",,AP: 0 MP: 2,2,0,,,,,,,,
escape_artist,Escape Artist,true_ability,,Self,You immediately escape the grapple by twisting and kicking. May be used by spending either AP or RP.,You are grappled.,AP: 1 RP: 1,,1,1,,,,,,,
eternal_flames,Eternal Flames,key_ability,,,,,,,,,,"When you would apply Burning, you instead apply Hellfire. Hellfire functions like Burning, but it cannot no longer be removed the normal way if not removed before the end of the target’s next turn. Hellfire is automatically removed at the end of the encounter., If you apply Hellfire to a target that is already burning, you deal extra fire damage equal to your Power.",,,,,
eternal_mirane_cage,Eternal Mirane Cage,true_ability,"Frost, Spell",Sight,"Instead of killing the target, they are reduced to negative their Max HP +1. The target is encased in Magical Ice for 10 years, rooted on the location and cannot be moved.  The Ice never melts despite temperature and can only be dispelled by Higher Order Magic (such as a Divine Arms), or by you. The Spell effect ends if you die. You can extend the duration of the Frost by 10 years for every 2 mana spent.",Use when an ally attack would kill a target and target is not an ally.,MP: 1 RP: 0,1,,0,,,,,,,
eternal_vigil,Eternal Vigil,true_ability,,,"While in statue mode and sleeping, you make perception checks as if you were awake.",,,,,,,,,,,,
evasive_maneuver,Evasive Maneuver,true_ability,Sidestep,Self,"You Sidestep 5ft in any direction.

When used on your turn, you may spend 1 mana and 0 AP on this ability instead.",,RP: 1,,,1,,,,,,,
evil_eye,Evil Eye,key_ability,,,,,,,,,,"While you have a Mystic Eye active, you gain a +10 bonus to perception checks relying on sight., One of your eyes becomes an Evil Eye. It may be used to make Mystic Eye type abilities of the appropriate type. An eye can only be a single mystic eye type.",,,,,
evil_eye_of_death,Evil Eye of Death,true_ability,"Mystic Eye, Upkeep",60ft,"You open your Mystic Eye, focus it on a single target and they instantly die.

Upkeep: 3 AP. When you pay the upkeep cost, you may repeat this attack against a new target.",Target must be a grunt.,AP: 4 MP: 2,2,4,,,,,,,,
evil_eye_of_fear,Evil Eye of Fear,true_ability,"Mystic Eye, Upkeep, Fear, Mind Affecting",60ft,"You open your Mystic Eye and inflict fear on everything in sight.

All targets in a 90 degree cone up to range must make a save against your potency or become Shaken until the start of your next turn.

Upkeep: 1 AP. When you pay the upkeep cost, you may repeat this attack.",,AP: 1 MP: 1,1,1,,,,,,,,
evil_eye_of_lethargy,Evil Eye of Lethargy,true_ability,"Mystic Eye, Upkeep, Slow",60ft,"You open your Mystic Eye and inflict lethargy on everything in sight.

All targets in a 90 degree cone up to range become Slowed until the start of your next turn, unless they spent 1 RP to resist the effect.

Upkeep: 1 AP. When you pay the upkeep cost, you may repeat this attack.",,AP: 1 MP: 1,1,1,,,,,,,,
excavation_crash,Excavation Crash,true_ability,,Melee Weapon Range,"Choose one adjacent location 5ft from the target. The target may immediately use a move action for 0 RP to move there if they wish, you cannot make an attack of opportunity during Excavation Crash. If the target does not move to the location, make a heavy attack against them.",,AP: 1 MP: 1,1,1,,,,,,,,
execute_heretic,Execute Heretic,true_ability,"Sure Hit, Full Pierce",Melee Weapon Range,You deal damage to the target equal to their max HP.,Target must be downed.,AP: 1,,1,,,,,,,,
execute_the_heretic,Execute the Heretic,key_ability,,,,,AP: 1,,1,,,You may use Execute Heretic,Execute Heretic (execute_heretic),,,,
expanded_circuits,Expanded Circuits,key_ability,,,,,,,,,,You gain +2 maximum mana.,,,,,
expanded_menagerie,Expanded Menagerie,key_ability,,,,,,,,,,You may spend 1 mana with using Summon Animal to choose which animal you summon.,,,,,
expert_alchemist,Expert Alchemist,key_ability,,,,,,,,,,You gain Alchemeister Core Crafting Abilities.,Alchemeister Core Crafting (alchemeister_core_crafting),,,,
expert_farmer,Expert Farmer,true_ability,,,"Greater Infuse QiKeywords:RapidDescription:You infuse one of the planted herbs with Qi, upgrading it from rare to mystic and adding 20 to its difficulty.

Bountiful Harvest IIKeywords:RapidDescription:You bless one of the planted seeds that grants Food units or Alchemy materials. It grants 4 times that amount and you add 10 to its difficulty. Does not stack.",,,,,,,,,,,,
expert_scribe,Expert Scribe,key_ability,,,,,,,,,,"You gain +5 points in Art: Calligraphy expertise skill., You may draw scrolls, talismans or similar objects for 0 AP once per turn. When you do, reduce the AP cost of that talisman by 1.",,,,,
expertise_study_armorsmithing,Expertise Study (Armorsmithing),true_ability,,,You gain 4 Expertise Points in 3 different armorsmithing crafts. You also gain wielding proficiency in Heavy Armor or Greatshields.,,,,,,,,,,,,
expertise_study_artificing,Expertise Study (Artificing),true_ability,,,You gain 4 expertise points in 3 different Artificing crafts.  You also gain one basic weapon proficiency or one specialized weapon proficiency of your choice.,,,,,,,,,,,,
expertise_study_blacksmithing,Expertise Study (Blacksmithing),true_ability,,,You gain 4 Expertise Points in 3 different blacksmithing crafts. You also gain wielding proficiency in one smithing melee weapon of your choice. You may select specialized weapons with this.,,,,,,,,,,,,
expertise_study_carpentry,Expertise Study (Carpentry),true_ability,,,You gain 4 Expertise Points in 3 different carpentry crafts.  You also gain wielding proficiency in one carpentry weapon of your choice or artifice chainsaws.,,,,,,,,,,,,
explosive_advance,Explosive Advance,true_ability,Encounter Start,Self,You immediately activate Horse Step Acceleration and it becomes active for the entire first round of combat.  Immediately make up to 1 AP of movement actions.,,,,,,,,,,,,
explosive_ward,Explosive Ward,true_ability,"Bounded Field, Fire, Spell",Touch,"A ward that can be placed on a door or medium-sized container of some sort. If someone other than you opens the door or container, the ward triggers creating a loud noise and dealing Heavy Fire Damage to all creatures in a 10ft radius around the container. All items inside the container (if any) also take this damage. Once triggered, the bounded field vanishes. Casting this takes 10 minutes of uninterrupted casting. You may at the time of casting choose a number of people equal to your Focus that can also open the container or door without triggering the ward. If not triggered, Explosive Ward lasts until you remove it. For each Explosive Ward you maintain your maximum mana is reduced by 2. This is considered a tier 2 ward.",,MP: 2,2,,,,,,,,,
